userid,questionid,filename,colorscale,frequency,tasktype,responseId,response,fresponse,correct,result,responseTime,confidence,sequenceid
644,16,f1_singlehue,singlehue,3,click,30008,326.358,0.00701787,0,1,6191,0,11
644,17,f1_singlehue,singlehue,3,click,30009,675.532,0.213661,0.25,1,8012,0,11
644,18,f1_singlehue,singlehue,3,click,30011,815.411,0.564271,0.5,1,9982,0,11
644,19,f1_singlehue,singlehue,3,click,30012,606.204,0.680547,0.75,1,4424,0,11
644,20,f1_singlehue,singlehue,3,click,30010,483.247,0.985917,1,1,5486,0,11
644,21,f1_extbodyheat,extbodyheat,3,click,30270,511.279,0.0107559,0,1,4078,0,11
644,22,f1_extbodyheat,extbodyheat,3,click,30266,674.338,0.183539,0.25,1,6557,0,11
644,23,f1_extbodyheat,extbodyheat,3,click,30258,414.413,0.601643,0.5,0,9502,0,11
644,24,f1_extbodyheat,extbodyheat,3,click,30248,396.362,0.753318,0.75,1,5439,0,11
644,25,f1_extbodyheat,extbodyheat,3,click,30276,331.379,0.991776,1,1,3441,0,11
644,26,f1_spectral,spectral,3,click,30114,289.259,0.00044417,0,1,3475,0,11
644,27,f1_spectral,spectral,3,click,30101,776.461,0.197312,0.25,1,8254,0,11
644,28,f1_spectral,spectral,3,click,30105,640.42,0.485887,0.5,1,6879,0,11
644,29,f1_spectral,spectral,3,click,30093,645.308,0.802308,0.75,1,6196,0,11
644,30,f1_spectral,spectral,3,click,30110,500.372,0.984403,1,1,4157,0,11
644,61,f2_singlehue,singlehue,5,click,30017,449.36,0.00282614,0,1,4637,0,11
644,62,f2_singlehue,singlehue,5,click,30020,352.503,0.309838,0.25,1,6065,0,11
644,63,f2_singlehue,singlehue,5,click,30024,784.411,0.436011,0.5,1,5236,0,11
644,64,f2_singlehue,singlehue,5,click,30013,84.425,0.593221,0.75,0,8793,0,11
644,65,f2_singlehue,singlehue,5,click,30015,777.591,0.968544,1,1,5378,0,11
644,66,f2_extbodyheat,extbodyheat,5,click,30302,371.289,0.0202539,0,1,3359,0,11
644,67,f2_extbodyheat,extbodyheat,5,click,30284,438.201,0.288721,0.25,1,10362,0,11
644,68,f2_extbodyheat,extbodyheat,5,click,30298,527.397,0.501104,0.5,1,8017,0,11
644,69,f2_extbodyheat,extbodyheat,5,click,30289,559.266,0.734592,0.75,1,4222,0,11
644,70,f2_extbodyheat,extbodyheat,5,click,30311,73.137,1,1,1,5587,0,11
644,71,f2_spectral,spectral,5,click,30142,453.276,0.00942337,0,1,3385,0,11
644,72,f2_spectral,spectral,5,click,30121,76.452,0.255494,0.25,1,9542,0,11
644,73,f2_spectral,spectral,5,click,30131,644.329,0.494706,0.5,1,3320,0,11
644,74,f2_spectral,spectral,5,click,30129,447.96,0.735165,0.75,1,6035,0,11
644,75,f2_spectral,spectral,5,click,30138,744.137,0.99733,1,1,5010,0,11
644,106,f3_singlehue,singlehue,7,click,30034,402.299,0.0383926,0,1,4293,0,11
644,107,f3_singlehue,singlehue,7,click,30028,174.126,0.273465,0.25,1,7655,0,11
644,108,f3_singlehue,singlehue,7,click,30040,435.403,0.5077,0.5,1,12055,0,11
644,109,f3_singlehue,singlehue,7,click,30032,415.564,0.50898,0.75,0,8278,0,11
644,110,f3_singlehue,singlehue,7,click,30047,455.34,0.984855,1,1,4572,0,11
644,111,f3_extbodyheat,extbodyheat,7,click,30316,721.336,0.0040997,0,1,5111,0,11
644,112,f3_extbodyheat,extbodyheat,7,click,30341,316.329,0.266148,0.25,1,16494,0,11
644,113,f3_extbodyheat,extbodyheat,7,click,30321,389.186,0.532544,0.5,1,5210,0,11
644,114,f3_extbodyheat,extbodyheat,7,click,30355,84.376,0.651494,0.75,1,5578,0,11
