userid,questionid,filename,colorscale,frequency,tasktype,responseId,response,fresponse,correct,expcondition,trial,result,responseTime,confidence,sequenceid
988,7,f1_bodyheat_0,bodyheat,3,clickbox,44254,B,NULL,B,3,1,1,8487,0,18
988,8,f1_coolwarm_0,coolwarm,3,clickbox,44305,A,NULL,A,3,1,1,7045,0,18
988,9,f1_blueyellow_0,blueyellow,3,clickbox,44178,B,NULL,B,3,1,1,3792,0,18
988,16,f1_bodyheat_1,bodyheat,3,clickbox,44250,A,NULL,B,3,2,0,3355,0,18
988,17,f1_coolwarm_1,coolwarm,3,clickbox,44300,B,NULL,A,3,2,0,5016,0,18
988,18,f1_blueyellow_1,blueyellow,3,clickbox,44175,A,NULL,B,3,2,0,16441,0,18
988,25,f1_bodyheat_2,bodyheat,3,clickbox,44243,A,NULL,A,3,3,1,4157,0,18
988,26,f1_coolwarm_2,coolwarm,3,clickbox,44299,B,NULL,B,3,3,1,5180,0,18
988,27,f1_blueyellow_2,blueyellow,3,clickbox,44164,A,NULL,A,3,3,1,3525,0,18
988,34,f1_bodyheat_0,bodyheat,3,clickbox,44247,A,NULL,B,3,4,0,6372,0,18
988,35,f1_coolwarm_0,coolwarm,3,clickbox,44303,A,NULL,A,3,4,1,2983,0,18
988,36,f1_blueyellow_0,blueyellow,3,clickbox,44167,A,NULL,B,3,4,0,9843,0,18
988,43,f2_bodyheat_1,bodyheat,5,clickbox,44262,B,NULL,A,3,1,0,3118,0,18
988,44,f2_coolwarm_1,coolwarm,5,clickbox,44307,A,NULL,B,3,1,0,2698,0,18
988,45,f2_blueyellow_1,blueyellow,5,clickbox,44185,B,NULL,A,3,1,0,3798,0,18
988,52,f2_bodyheat_2,bodyheat,5,clickbox,44258,A,NULL,A,3,2,1,3947,0,18
988,53,f2_coolwarm_2,coolwarm,5,clickbox,44309,A,NULL,B,3,2,0,4152,0,18
988,54,f2_blueyellow_2,blueyellow,5,clickbox,44193,A,NULL,A,3,2,1,2823,0,18
988,61,f2_bodyheat_0,bodyheat,5,clickbox,44260,A,NULL,B,3,3,0,9937,0,18
988,62,f2_coolwarm_0,coolwarm,5,clickbox,44312,A,NULL,A,3,3,1,3571,0,18
988,63,f2_blueyellow_0,blueyellow,5,clickbox,44192,B,NULL,B,3,3,1,16098,0,18
988,70,f2_bodyheat_1,bodyheat,5,clickbox,44259,B,NULL,B,3,4,1,2819,0,18
988,71,f2_coolwarm_1,coolwarm,5,clickbox,44314,A,NULL,A,3,4,1,5992,0,18
988,72,f2_blueyellow_1,blueyellow,5,clickbox,44182,B,NULL,B,3,4,1,3639,0,18
988,79,f3_bodyheat_2,bodyheat,7,clickbox,44268,A,NULL,B,3,1,0,14341,0,18
988,80,f3_coolwarm_2,coolwarm,7,clickbox,44320,A,NULL,A,3,1,1,2454,0,18
988,81,f3_blueyellow_2,blueyellow,7,clickbox,44216,B,NULL,B,3,1,1,15467,0,18
988,88,f3_bodyheat_0,bodyheat,7,clickbox,44264,A,NULL,B,3,2,0,4334,0,18
988,89,f3_coolwarm_0,coolwarm,7,clickbox,44318,A,NULL,A,3,2,1,4764,0,18
988,90,f3_blueyellow_0,blueyellow,7,clickbox,44208,A,NULL,B,3,2,0,8169,0,18
988,97,f3_bodyheat_1,bodyheat,7,clickbox,44273,B,NULL,B,3,3,1,2736,0,18
988,98,f3_coolwarm_1,coolwarm,7,clickbox,44317,A,NULL,A,3,3,1,3441,0,18
988,99,f3_blueyellow_1,blueyellow,7,clickbox,44197,B,NULL,B,3,3,1,5975,0,18
988,106,f3_bodyheat_2,bodyheat,7,clickbox,44271,B,NULL,A,3,4,0,2813,0,18
988,107,f3_coolwarm_2,coolwarm,7,clickbox,44316,B,NULL,B,3,4,1,3553,0,18
988,108,f3_blueyellow_2,blueyellow,7,clickbox,44202,A,NULL,A,3,4,1,8419,0,18
988,115,f4_bodyheat_0,bodyheat,9,clickbox,44274,B,NULL,B,3,1,1,3121,0,18
988,116,f4_coolwarm_0,coolwarm,9,clickbox,44326,A,NULL,A,3,1,1,2727,0,18
988,117,f4_blueyellow_0,blueyellow,9,clickbox,44230,B,NULL,B,3,1,1,4500,0,18
988,124,f4_bodyheat_1,bodyheat,9,clickbox,44277,B,NULL,A,3,2,0,6391,0,18
988,125,f4_coolwarm_1,coolwarm,9,clickbox,44324,B,NULL,B,3,2,1,6443,0,18
988,126,f4_blueyellow_1,blueyellow,9,clickbox,44226,A,NULL,A,3,2,1,4403,0,18
988,133,f4_bodyheat_2,bodyheat,9,clickbox,44285,B,NULL,B,3,3,1,6979,0,18
988,134,f4_coolwarm_2,coolwarm,9,clickbox,44322,A,NULL,A,3,3,1,5947,0,18
